"分類","メモ","コマンド","表示名","いまの区分","高互換","止めるまで続く","歩ける","小道具","相手","車","成人向け","効果","手がかり","Dict","Anim"
"","","/e apple","Apple","物を持つ","","","○","sf_prop_sf_apple_01b","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e argue","Argue","ふつうの動作","○","","○","","","","","","","misscarsteal4@actor","actor_berating_loop"
"","","/e argue2","Argue 2","ふつうの動作","○","","○","","","","","","","oddjobs@assassinate@vice@hooker","argue_a"
"","","/e argue3","Argue 3","ふつうの動作","","","○","","","","","","","missheistdockssetup1leadinoutig_1","lsdh_ig_1_argue_wade"
"","","/e argue4","Argue 4","ふつうの動作","","","○","","","","","","","car_2_mcs_1-6","cs_devin_dual-6"
"","","/e argue5","Argue Angry 1","ふつうの動作","","","○","","","","","","fight","anim@amb@casino@brawl@fights@argue@","arguement_loop_mp_m_brawler_01"
"","","/e argue6","Argue Angry 2","ふつうの動作","","","○","","","","","","fight","anim@amb@casino@brawl@fights@argue@","arguement_loop_mp_m_brawler_02"
"","","/e argue7","Argue 7","ふつうの動作","","","○","","","","","","","mini@prostitutestalk","street_argue_f_a"
"","","/e argue8","Argue 8","ふつうの動作","","","○","","","","","","","rcmnigel1cnmt_1c","price_tag"
"","","/e argue9","Argue 9","ふつうの動作","","","○","","","","","","","mini@hookers_sp","idle_reject"
"","","/walk Armored","Armored","歩き方","○","","","","","","","","","anim_group_move_ballistic",""
"","","/e army1","Army 1","ふつうの動作","","○","","","","","","","","bzzz@animation@army1","bz_army1"
"","","/e army2","Army 2","ふつうの動作","","○","","","","","","","","bzzz@animation@army2","bz_army2"
"","","/e army1l","Army 1 Left","ふつうの動作","","○","","","","","","","","bzzz@animation@army1_left","bz_army1_left"
"","","/e army1p","Army 1 Right","ふつうの動作","","○","","","","","","","","bzzz@animation@army1_right","bz_army1_right"
"","","/e army2l","Army 2 Left","ふつうの動作","","○","","","","","","","","bzzz@animation@army2_left","bz_army2_left"
"","","/e army2p","Army 2 Right","ふつうの動作","","○","","","","","","","","bzzz@animation@army2_right","bz_army2_right"
"","","/walk Arrogant","Arrogant","歩き方","○","","","","","","","","","move_f@arrogant@a",""
"","","/e aslcya","ASL See Ya 🇺🇸","ふつうの動作","","","○","","","","","","","ebrwny_sign","ebrwny_seeya"
"","","/e aslimgood","ASL I Am Good 🇺🇸","ふつうの動作","","","○","","","","","","","ebrwny_sign","ebrwny_imgood"
"","","/e aslno","ASL No 🇺🇸","ふつうの動作","","","○","","","","","","","ebrwny_sign","ebrwny_no"
"","","/e aslwhat","ASL What 🇺🇸","ふつうの動作","","","○","","","","","","","ebrwny_sign","ebrwny_what"
"","","/e aslyes","ASL Yes 🇺🇸","ふつうの動作","","","○","","","","","","","ebrwny_sign","ebrwny_yes"
"","","/e atm","ATM","ふつうの動作","○","","","","","","","","","Scenario:SCENARIO","PROP_HUMAN_ATM"
"","","/e axe","Axe","物を持つ","","","○","prop_tool_fireaxe","","","","","","rcmnigel1d","base_club_shoulder"
"","","/e axe2","Axe - Ground Impact","物を持つ","","○","","prop_tool_fireaxe","","","","","melee","melee@large_wpn@streamed_core","ground_attack_on_spot"
"","","/e axe3","Axe - Pickaxe","物を持つ","","","○","prop_tool_pickaxe","","","","","","rcmnigel1d","base_club_shoulder"
"","","/e axe4","Axe - Pickaxe Ground Impact","物を持つ","","○","","prop_tool_pickaxe","","","","","melee","melee@large_wpn@streamed_core","ground_attack_on_spot"
"","","/e backpack","Backpack","物を持つ","○","","○","p_michael_backpack_s","","","","","","move_p_m_zero_rucksack","nill"
"","","/e baddiebendova","Baddie Bendova Pose","ふつうの動作","","○","","","","","","","","bendova@animation","bendova_clip"
"","","/e baddiegyat","Baddie Gyat Selfie","物を持つ","","○","","prop_phone_ing","","","","","","baddiegyat","baddiegyat_clip"
"","","/e baddienailpose","Baddie Nail Pose","ふつうの動作","","○","","","","","","","","nailpose@animation","nailpose_clip"
"","","/e baddiepeace","Baddie Peace Pose","ふつうの動作","","○","","","","","","","","41animpeacebaddie@animation","41animpeacebaddie_clip"
"","","/e bagel","Bagel","物を持つ","","","○","p_ing_bagel_01","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e balloon","Balloon","物を持つ","","","○","heart_balloon","","","","","","anim@heists@humane_labs@finale@keycards","ped_a_enter_loop"
"","","/e balloon2","Balloon 2 - Pride","物を持つ","","","○","pride_heart_balloon","","","","","","anim@heists@humane_labs@finale@keycards","ped_a_enter_loop"
"","","/e bang","Bang Bang","ふつうの動作","","","","","","","","","","anim@mp_player_intcelebrationfemale@bang_bang","bang_bang"
"","","/e bark","Bark","ふつうの動作","○","","","","","","","","","random@peyote@dog","wakeup"
"","","/e bartender","Bartender","ふつうの動作","○","","○","","","","","","drink","anim@amb@clubhouse@bar@drink@idle_a","idle_a_bartender"
"","","/e baseball","Baseball","2人でやる","○","","","","baseballthrow","","","","","anim@arena@celeb@flat@paired@no_props@","baseball_a_player_a"
"","","/e baseballthrow","Baseball Throw","2人でやる","○","","","","baseball","","","","","anim@arena@celeb@flat@paired@no_props@","baseball_a_player_b"
"","","/e basket","Basket","物を持つ","","","○","bzzz_prop_shop_basket_a","","","","","","missfbi4prepp1","idle"
"","","/e basket2","Basket 2","物を持つ","","","○","bzzz_prop_shop_basket_b","","","","","","missfbi4prepp1","idle"
"","","/e batontwirl","Baton Twirl","物を持つ","","○","","w_me_nightstick","","","","","","anim@mp_player_intuppermale@baton_twirl","idle_a"
"","","/e bball","Basketball Hold","物を持つ","","","○","prop_bskball_01","","","","","","anim@male_bskball_hold","bskball_hold_clip"
"","","/e bball2","Basketball Pose","物を持つ","","","○","prop_bskball_01","","","","","","anim@male_bskball_photo_pose","photo_pose_clip"
"","","/e bball3","Basketball Hold 2","物を持つ","","","○","prop_bskball_01","","","","","","anim@male_basketball_03","m_basketball_03_clip"
"","","/e bball4","Basketball Hold 3","物を持つ","","○","","prop_bskball_01","","","","","","mx@pose2","mx_clippose2"
"","","/e bball5","Basketball Drive Pose","物を持つ","","○","","prop_bskball_01","","","","","","cover@weapon@grenade","hi_r_cook"
"","","/e bbat","Baseball Bat Pose","物を持つ","","○","","p_cs_bbbat_01","","","","","","bat@sel","bat_clip"
"","","/e bbq","BBQ","ふつうの動作","○","","","","","","","","","Scenario:MALE","PROP_HUMAN_BBQ"
"","","/e bbqf","BBQ (Female)","物を持つ","","","○","prop_fish_slice_01","","","","","","amb@prop_human_bbq@male@idle_a","idle_b"
"","","/e bdogbark","Bark (big dog)","動物のとき限定","","○","","","","","","","eat","creatures@rottweiler@amb@world_dog_barking@idle_a","idle_a"
"","","/e bdogbark2","Bark (big dog - retriever)","動物のとき限定","","○","","","","","","","eat","creatures@retriever@amb@world_dog_barking@idle_a","idle_a"
"","","/e bdogbeg","Beg (big dog)","動物のとき限定","","○","","","","","","","eat","creatures@rottweiler@tricks@","beg_loop"
"","","/e bdogbeg2","Beg 2 (big dog)","動物のとき限定","","○","","","","","","","eat","creatures@rottweiler@tricks@","paw_right_loop"
"","","/e bdogeat","Beg 2 (big dog)","動物のとき限定","","○","","","","","","","eat","anim@scripted@tycoon@bt1@ig6_dog_eat@dog@","loop_dog"
"","","/e bdogexcited","Excited (big dog - retriever)","動物のとき限定","","○","","","","","","","eat","creatures@retriever@amb@world_dog_barking@idle_a","idle_c"
"","","/e bdogfhump","Female Hump (big dog)","動物のとき限定","","○","","","","","○","","eat","creatures@rottweiler@amb@","hump_loop_ladydog"
"","","/e bdogfris","Frisbee (big dog)","動物のとき限定","","","○","p_ld_frisbee_01","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","nill"
"","","/e bdogfw","Firework - Big Dog","動物のとき限定","","","○","ind_prop_firework_01","","","","○","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","nill"
"","","/e bdogglowa","Glow Stick (big dog)","動物のとき限定","","","○","ba_prop_battle_glowstick_01","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","nill"
"","","/e bdogglowb","Glow Stick Sitting (big dog)","動物のとき限定","","○","","ba_prop_battle_glowstick_01","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","base"
"","","/e bdogindicateahead","Indicate Ahead (big dog)","動物のとき限定","","○","","","","","","","eat","creatures@rottweiler@indication@","indicate_ahead"
"","","/e bdogindicatehigh","Indicate High (big dog)","動物のとき限定","","○","","","","","","","eat","creatures@rottweiler@indication@","indicate_high"
"","","/e bdogindicatelow","Indicate Low (big dog)","動物のとき限定","","○","","","","","","","eat","creatures@rottweiler@indication@","indicate_low"
"","","/e bdogitch","Itch (big dog)","動物のとき限定","","","","","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@idle_a","idle_a"
"","","/e bdoglayleft","Lay Left (big dog)","動物のとき限定","","○","","","","","","","eat","creatures@rottweiler@move","dead_left"
"","","/e bdoglayright","Lay Right (big dog)","動物のとき限定","","○","","","","","","","eat","creatures@rottweiler@move","dead_right"
"","","/e bdogmhump","Male Hump (big dog)","動物のとき限定","","○","","","","","○","","eat","creatures@rottweiler@amb@","hump_loop_chop"
"","","/e bdogpee","Pee (big dog)","動物のとき限定","","○","","","","","","○","eat","creatures@rottweiler@move","pee_left_idle"
"","","/e bdogpee2","Pee 2 (big dog)","動物のとき限定","","○","","","","","","○","eat","creatures@rottweiler@move","pee_right_idle"
"","","/e bdogpridea","Sit Pride A (big dog)","動物のとき限定","","○","","lilprideflag1","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","base"
"","","/e bdogprideb","Sit Pride B - LGBTQIA (big dog)","動物のとき限定","","○","","lilprideflag2","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","base"
"","","/e bdogpridec","Sit Pride C - Bisexual (big dog)","動物のとき限定","","○","","lilprideflag3","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","base"
"","","/e bdogprided","Sit Pride D - Lesbian (big dog)","動物のとき限定","","○","","lilprideflag4","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","base"
"","","/e bdogpridee","Sit Pride E - Pansexual (big dog)","動物のとき限定","","○","","lilprideflag5","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","base"
"","","/e bdogpridef","Sit Pride F - Transgender  (big dog)","動物のとき限定","","○","","lilprideflag6","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","base"
"","","/e bdogprideg","Sit Pride G - Non Binary (big dog)","動物のとき限定","","○","","lilprideflag7","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","base"
"","","/e bdogprideh","Sit Pride H - Asexual (big dog)","動物のとき限定","","○","","lilprideflag8","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","base"
"","","/e bdogpridei","Sit Pride I - Straight Ally (big dog)","動物のとき限定","","○","","lilprideflag9","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","base"
"","","/e bdogshit","Shit (big dog)","動物のとき限定","","○","","","","","","○","eat","creatures@rottweiler@move","dump_loop"
"","","/e bdogsit","Sit (big dog)","動物のとき限定","","○","","","","","","","eat sitting","creatures@rottweiler@amb@world_dog_sitting@base","base"
"","","/e bdogsitcar","Sit in car (big dog)","動物のとき限定","","","","","","車の中だけ","","","eat","creatures@rottweiler@incar@","sit"
"","","/e bdogsleep","Sleep (big dog)","動物のとき限定","","○","","","","","","","eat sleep","creatures@rottweiler@amb@sleep_in_kennel@","sleep_in_kennel"
"","","/e beachbag","Beach Bag","物を持つ","","","○","prop_beachbag_05","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e beachbag2","Beach Bag 2","物を持つ","","","○","prop_beachbag_06","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e beachbag3","Beach Bag 3","物を持つ","","","○","prop_beachbag_01","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e beachring","Beach Floatie Thingy","物を持つ","","","○","prop_beach_ring_01","","","","","","beachanims@free","beachanim_clip"
"","","/e beans","Beans","物を持つ","","","○","h4_prop_h4_caviar_tin_01a","","","","","","anim@scripted@island@special_peds@pavel@hs4_pavel_ig5_caviar_p1","base_idle"
"","","/e beast","Beast","ふつうの動作","○","","○","","","","","","","anim@mp_fm_event@intro","beast_transform"
"","","/e beer","Beer","物を持つ","○","","○","prop_amb_beer_bottle","","","","","drinking drink","amb@world_human_drinking@beer@male@idle_a","idle_c"
"","","/e beer2","Beer 2","物を持つ","","","○","prop_amb_beer_bottle","","","","","drinking drink","amb@world_human_drinking@beer@male@idle_a","idle_c"
"","","/e beer3","Beer 3","物を持つ","","","○","p_cs_bottle_01","","","","","drinking drink","amb@world_human_drinking@beer@male@idle_a","idle_a"
"","","/e beer4","Beer 4 - Pour One Out For The Homies","物を持つ","","","○","p_cs_bottle_01","","","","","drinking drink","amb@world_human_drinking@beer@male@idle_a","idle_b"
"","","/e beer5","Beer 5","物を持つ","","","○","p_cs_bottle_01","","","","","drinking drink","amb@world_human_drinking@beer@male@idle_a","idle_c"
"","","/e beerbox","Beer Box 1","物を持つ","","","○","v_ret_ml_beerdus","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e beerbox2","Beer Box 2","物を持つ","","","○","v_ret_ml_beeram","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e beerbox3","Beer Box 3","物を持つ","","","○","v_ret_ml_beerpride","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e beerbox4","Beer Box 4","物を持つ","","","○","v_ret_ml_beerbar","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e beercan","Beer Can","物を持つ","","","○","v_res_tt_can01","","","","","drinking drink","amb@world_human_drinking@coffee@male@idle_a","idle_c"
"","","/e beercan2","Beer Can 2","物を持つ","","","○","v_res_tt_can02","","","","","drinking drink","amb@world_human_drinking@coffee@male@idle_a","idle_c"
"","","/e beercan3","Beer Can 3","物を持つ","","","○","h4_prop_h4_can_beer_01a","","","","","drinking drink","amb@world_human_drinking@coffee@male@idle_a","idle_c"
"","","/e beerf","Beer Female","物を持つ","","","○","prop_amb_beer_bottle","","","","","drinking drink","amb@world_human_drinking@beer@female@idle_a","idle_a"
"","","/e beerf3","Beer Female 3","物を持つ","","○","","prop_amb_beer_bottle","","","","","drinking drink","amb@world_human_drinking@beer@female@idle_a","idle_a"
"","","/e beerf4","Beer Female 4","物を持つ","","○","","prop_amb_beer_bottle","","","","","","fix_stu_ext-1","a_f_y_studioparty_01^1_dual-1"
"","","/e beerf5","Beer Female 5","物を持つ","","○","","prop_amb_beer_bottle","","","","","drink","anim@scripted@freemode_npc@fix_dre_studio_entourage_b@","stand_drink_cup_female_a_base"
"","","/e beg","Beg","物を持つ","○","","○","prop_beggers_sign_03","","","","","","amb@world_human_bum_freeway@male@base","base"
"","","/e beg2","Beg 2","物を持つ","","","○","prop_beggers_sign_01","","","","","","amb@world_human_bum_freeway@male@base","base"
"","","/e beg3","Beg 3","物を持つ","","","○","prop_beggers_sign_02","","","","","","amb@world_human_bum_freeway@male@base","base"
"","","/e beg4","Beg 4","物を持つ","","","○","prop_beggers_sign_04","","","","","","amb@world_human_bum_freeway@male@base","base"
"","","/e bend","Bend over","ふつうの動作","","","○","","","車の外だけ","","","","ebrwny_pack000","ebrwny_bend"
"","","/e bestfriends","Best Friends 1","2人でやる","","○","","","bestfriends2","","","","","mrwitt@casual_composure_female01","mrwitt"
"","","/e bestfriends2","Best Friends 2","2人でやる","","○","","","bestfriends","","","","","mrwitt@casual_composure_female02","mrwitt"
"","","/e bff","BFF Pose","2人でやる","","○","","","bffb","","","","","anim@male_couple_03_b","m_couple_03_b_clip"
"","","/e bffb","BFF Pose 2","2人でやる","","○","","","bff","","","","","anim@female_couple_03_b","f_couple_03_b_clip"
"","","/walk Bigfoot","Bigfoot","歩き方","","","","","","","","","lean","move_characters@orleans@core@",""
"","","/e binoculars","Binoculars","物を持つ","","","○","prop_binoc_01","","","","","","amb@world_human_binoculars@male@idle_b","idle_f"
"","","/e binoculars2","Binoculars 2","物を持つ","","","○","prop_binoc_01","","","","","","amb@world_human_binoculars@male@idle_a","idle_c"
"","","/e bird","Bird","ふつうの動作","○","","","","","","","","","random@peyote@bird","wakeup"
"","","/e block","Block Face","ふつうの動作","","","○","","","","","","","missheist_agency3ashield_face","idle"
"","","/e blowkiss","Blow Kiss","ふつうの動作","○","","","","","","","","kiss","anim@mp_player_intcelebrationfemale@blow_kiss","blow_kiss"
"","","/e blowkiss2","Blow Kiss 2","ふつうの動作","○","","○","","","","","","kiss","anim@mp_player_intselfieblow_kiss","exit"
"","","/e boba","Boba","物を持つ","","","○","scully_boba","","","","","drinking drink","amb@world_human_drinking@coffee@male@idle_a","idle_c"
"","","/e boba2","Boba 2","物を持つ","","","○","scully_boba2","","","","","drinking drink","amb@world_human_drinking@coffee@male@idle_a","idle_c"
"","","/e boba3","Boba 3","物を持つ","","","○","scully_boba3","","","","","drinking drink","amb@world_human_drinking@coffee@male@idle_a","idle_c"
"","","/e boi","BOI","ふつうの動作","○","","○","","","","","","","special_ped@jane@monologue_5@monologue_5c","brotheradrianhasshown_2"
"","","/e bonesaw","Bonesaw","物を持つ","","","○","prop_bonesaw","","","","","","anim@heists@humane_labs@finale@keycards","ped_a_enter_loop"
"","","/e bong","Bong","物を持つ","○","","○","prop_bong_01","","","","○","","anim@safehouse@bong","bong_stage3"
"","","/e bong2","Bong 2","物を持つ","","","○","xm3_prop_xm3_bong_01a","","","","○","","anim@safehouse@bong","bong_stage3"
"","","/e bong3","Bong 3 - Sit & Rip","物を持つ","","○","","prop_bong_01","","","","○","","sit_bong@dark","sit_bong_clip"
"","","/e bong4","Bong 4 - Sit & Rip Purple","物を持つ","","○","","xm3_prop_xm3_bong_01a","","","","○","","sit_bong@dark","sit_bong_clip"
"","","/e bongos","Bongo Drums","物を持つ","","","○","prop_bongos_01","","","","","","amb@world_human_musician@bongos@male@base","base"
"","","/e book","Book","物を持つ","○","","○","prop_novel_01","","","","","phone","cellphone@","cellphone_text_read_base"
"","","/e bookb","Book 2","物を持つ","","","○","prop_cs_book_01","","","","","","holding_book_1@dark","holding_book_1_clip"
"","","/e bookc","Book 3","物を持つ","","","○","prop_michael_backpack","","","","","","holding_book_2@dark","holding_book_2_clip"
"","","/e bookd","Book 4","物を持つ","","","○","prop_cs_stock_book","","","","","","holding_book_3@dark","holding_book_3_clip"
"","","/e booke","Book 5","物を持つ","","","○","prop_cs_stock_book","","","","","","holding_book_4@dark","holding_book_4_clip"
"","","/e bookf","Book 6","物を持つ","","○","","v_ilev_mp_bedsidebook","","","","","","holding_book_5@dark","holding_book_5_clip"
"","","/e boombox","Boombox","物を持つ","","","○","prop_boombox_01","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e boombox2","Boombox 2","物を持つ","","","○","prop_cs_sol_glasses","","","","","","molly@boombox1","boombox1_clip"
"","","/e bouquet","Bouquet","物を持つ","○","","○","prop_snow_flower_02","","","","","","hold_flowers@dad","hold_flowers_clip"
"","","/e bouquet2","Bouquet 2","物を持つ","","","○","pata_freevalentinesday3","","","","","","hold_flowers@dad","hold_flowers_clip"
"","","/e bow","Bow","ふつうの動作","○","","○","","","","","","","anim@arena@celeb@podium@no_prop@","regal_c_1st"
"","","/e bow2","Bow 2","ふつうの動作","○","","○","","","","","","","anim@arena@celeb@podium@no_prop@","regal_a_1st"
"","","/e box","Box","物を持つ","○","","○","hei_prop_heist_box","","","","","","anim@heists@box_carry@","idle"
"","","/e boxdance","Boxing Dance Solo","ダンス","","○","","","","","","","nightclub","anim@amb@nightclub@mini@dance@dance_solo@beach_boxing@","med_right_down"
"","","/e boxing","Boxing","ふつうの動作","○","","○","","","","","","","anim@mp_player_intcelebrationmale@shadow_boxing","shadow_boxing"
"","","/e boxing2","Boxing 2","ふつうの動作","○","","○","","","","","","","anim@mp_player_intcelebrationfemale@shadow_boxing","shadow_boxing"
"","","/e boxing3","Boxing 3","ふつうの動作","","○","","","","","","","melee","melee@unarmed@streamed_core_fps","idle"
"","","/walk Brave","Brave","歩き方","○","","","","","","","","","move_m@brave",""
"","","/walk Brave2","Brave 2","歩き方","","","","","","","","","","move_m@brave@a",""
"","","/walk Brave3","Brave 3","歩き方","","","","","","","","","","move_m@brave@b",""
"","","/e brief","Briefcase","物を持つ","","","○","prop_ld_case_01","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e brief2","Briefcase 2","物を持つ","","","○","prop_ld_case_01","","","","","phone","missheistdocksprep1hold_cellphone","static"
"","","/e bringiton","Bring It On","ふつうの動作","○","","○","","","","","","","misscommon@response","bring_it_on"
"","","/e bro","Bro","2人でやる","○","","","","bro2","","","","","mp_ped_interaction","hugs_guy_a"
"","","/e bro2","Bro 2","2人でやる","○","","","","bro","","","","","mp_ped_interaction","hugs_guy_b"
"","","/e broom","Broom","物を持つ","","○","","prop_tool_broom","","","","","","anim@amb@drug_field_workers@rake@male_a@base","base"
"","","/e broom2","Broom 2","物を持つ","","○","","prop_tool_broom","","","","","","anim@amb@drug_field_workers@rake@male_a@idles","idle_b"
"","","/e broom3","Broom 3","物を持つ","","○","","prop_tool_broom","","","","","","anim@amb@drug_field_workers@rake@male_b@base","base"
"","","/e broom4","Broom 4","物を持つ","","○","","prop_tool_broom","","","","","","anim@amb@drug_field_workers@rake@male_b@idles","idle_d"
"","","/e brushteeth","Brush Teeth","物を持つ","","","○","prop_toothbrush_01","","","","","eat","mp_player_inteat@pnq","loop_fp"
"","","/e bumbin","Bum Bin","ふつうの動作","○","","","","","","","","","Scenario:SCENARIO","PROP_HUMAN_BUM_BIN"
"","","/e bumsleep","Bum Sleep","ふつうの動作","○","○","","","","車の外だけ","","","","amb@world_human_bum_slumped@male@laying_on_left_side@idle_a","idle_b"
"","","/e burger","Burger","物を持つ","○","","○","prop_cs_burger_01","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e burgerpose","Burger - Pose","物を持つ","","","○","prop_cs_burger_01","","","","","","brugershot_dark_fixed@dark","brugershot_dark_fixed_clip"
"","","/mood Burning","Burning","表情","","","","","","","","","","burning_1",""
"","","/e businessbag","Business Bag","物を持つ","","","○","prop_med_bag_01b","","","","","","mrwitt@dark_appearance_with_bag_male","mrwitt"
"","","/e businessbag2","Business Bag - Pose","物を持つ","","○","","prop_med_bag_01b","","","","","","mrwitt@dark_appearance_with_bag_male","mrwitt"
"","","/walk Butch","Butch","歩き方","","","","","","","","","","move_m@hurry_butch@a",""
"","","/walk Butch2","Butch 2","歩き方","","","","","","","","","","move_m@hurry_butch@b",""
"","","/walk Butch3","Butch 3","歩き方","","","","","","","","","","move_m@hurry_butch@c",""
"","","/e buzz","Buzz Door","ふつうの動作","","","","","","","","","","anim@apt_trans@buzzer","buzz_reg"
"","","/walk Buzzed","Buzzed","歩き方","","","","","","","","","","move_m@buzzed",""
"","","/e cake","Birthday Cake","物を持つ","","","○","bzzz_prop_cake_birthday_001","","","","","","anim@heists@box_carry@","idle"
"","","/e cake2","Baby Cake","物を持つ","","","○","bzzz_prop_cake_baby_001","","","","","","anim@heists@box_carry@","idle"
"","","/e cake3","Casino Cake","物を持つ","","","○","bzzz_prop_cake_casino001","","","","","","anim@heists@box_carry@","idle"
"","","/e cake4","Love Cake","物を持つ","","","○","bzzz_prop_cake_love_001","","","","","","anim@heists@box_carry@","idle"
"","","/e cake5","Unicorn Cake","物を持つ","","","○","pata_cake","","","","","","anim@heists@box_carry@","idle"
"","","/e cake6","Pride Cake","物を持つ","","","○","pata_cake2","","","","","","anim@heists@box_carry@","idle"
"","","/e cake7","Chocolate Mud Cake","物を持つ","","","○","pata_cake3","","","","","","anim@heists@box_carry@","idle"
"","","/e cakew","Cake Waiter - Birthday","物を持つ","","","○","bzzz_prop_cake_birthday_001","","","","","","anim@move_f@waitress","idle"
"","","/e cakew2","Cake Waiter - Baby","物を持つ","","","○","bzzz_prop_cake_baby_001","","","","","","anim@move_f@waitress","idle"
"","","/e cakew3","Cake Waiter - Casino","物を持つ","","","○","bzzz_prop_cake_casino001","","","","","","anim@move_f@waitress","idle"
"","","/e cakew4","Cake Waiter - Love","物を持つ","","","○","bzzz_prop_cake_love_001","","","","","","anim@move_f@waitress","idle"
"","","/e cakew5","Cake Waiter - Unicorn","物を持つ","","","○","pata_cake","","","","","","anim@move_f@waitress","idle"
"","","/e cakew6","Cake Waiter - Pride","物を持つ","","","○","pata_cake2","","","","","","anim@move_f@waitress","idle"
"","","/e cakew7","Cake Waiter - Chocolate Mud","物を持つ","","","○","pata_cake3","","","","","","anim@move_f@waitress","idle"
"","","/e calldog","Call Dog","ふつうの動作","","○","","","","","","","","switch@franklin@plays_w_dog","001916_01_fras_v2_9_plays_w_dog_idle"
"","","/e calldogl","Call Dog - Left","ふつうの動作","","","","","","","","","","missfra0_chop_find","call_chop_l"
"","","/e calldogr","Call Dog - Right","ふつうの動作","","","","","","","","","","missfra0_chop_find","call_chop_r"
"","","/e camera","Camera","物を持つ","○","","○","prop_pap_camera_01","","","","○","","stand_camera_1@dad","stand_camera_1_clip"
